"","Year","Day of Week","Month","Day","Time (ET)","Game Type","Home Team","Away Team","Arena","City","State","Attendance"
"1","1997","Saturday","June","21","4:00 PM","Regular season","Los Angeles Sparks","New York Liberty","Great Western Forum","Los Angeles","CA","14284"
"2","1997","Saturday","June","21","7:00 PM","Regular season","Cleveland Rockers","Houston Comets","Quicken Loans Arena","Cleveland","OH","11455"
"3","1997","Saturday","June","21","5:00 AM","Regular season","Utah Starzz","Sacramento Monarchs","EnergySolutions Arena","Salt Lake City","UT","8915"
"4","1997","Sunday","June","22","4:00 PM","Regular season","Phoenix Mercury","Charlotte Sting","US Airways Center","Phoenix","AZ","16102"
"5","1997","Monday","June","23","3:00 AM","Regular season","Utah Starzz","Los Angeles Sparks","EnergySolutions Arena","Salt Lake City","UT","8036"
"6","1997","Monday","June","23","10:00 PM","Regular season","Sacramento Monarchs","New York Liberty","ARCO Arena","Sacramento","CA","15259"
"7","1997","Tuesday","June","24","4:00 AM","Regular season","Houston Comets","Phoenix Mercury","Compaq Center","Houston","TX","16285"
"8","1997","Wednesday","June","25","6:00 AM","Regular season","Los Angeles Sparks","Charlotte Sting","Great Western Forum","Los Angeles","CA","6397"
"9","1997","Thursday","June","26","7:00 PM","Regular season","Cleveland Rockers","Utah Starzz","Quicken Loans Arena","Cleveland","OH","8845"
"10","1997","Thursday","June","26","10:00 PM","Regular season","Sacramento Monarchs","Charlotte Sting","ARCO Arena","Sacramento","CA","6248"
"11","1997","Thursday","June","26","4:00 AM","Regular season","Houston Comets","New York Liberty","Compaq Center","Houston","TX","8931"
"12","1997","Friday","June","27","9:00 PM","Regular season","Los Angeles Sparks","Sacramento Monarchs","Great Western Forum","Los Angeles","CA","6670"
"13","1997","Saturday","June","28","5:00 PM","Regular season","Utah Starzz","Houston Comets","EnergySolutions Arena","Salt Lake City","UT","6529"
"14","1997","Saturday","June","28","4:00 PM","Regular season","Cleveland Rockers","Phoenix Mercury","Quicken Loans Arena","Cleveland","OH","5930"
"15","1997","Sunday","June","29","4:00 PM","Regular season","New York Liberty","Phoenix Mercury","Madison Square Garden","New York","NY","17780"
"16","1997","Sunday","June","29","3:00 AM","Regular season","Charlotte Sting","Cleveland Rockers","Time Warner Cable Arena","Charlotte","NC","7289"
"17","1997","Monday","June","30","3:00 AM","Regular season","Houston Comets","Los Angeles Sparks","Compaq Center","Houston","TX","8301"
"18","1997","Wednesday","July","2","10:00 PM","Regular season","Sacramento Monarchs","Utah Starzz","ARCO Arena","Sacramento","CA","6156"
"19","1997","Wednesday","July","2","3:00 AM","Regular season","New York Liberty","Houston Comets","Madison Square Garden","New York","NY","8792"
"20","1997","Thursday","July","3","3:00 AM","Regular season","Cleveland Rockers","Los Angeles Sparks","Quicken Loans Arena","Cleveland","OH","7414"
"21","1997","Thursday","July","3","5:00 AM","Regular season","Utah Starzz","Phoenix Mercury","EnergySolutions Arena","Salt Lake City","UT","6718"
"22","1997","Friday","July","4","9:00 PM","Regular season","Houston Comets","New York Liberty","Compaq Center","Houston","TX","10239"
"23","1997","Saturday","July","5","2:00 PM","Regular season","Charlotte Sting","Los Angeles Sparks","Time Warner Cable Arena","Charlotte","NC","8975"
"24","1997","Saturday","July","5","5:00 AM","Regular season","Utah Starzz","New York Liberty","EnergySolutions Arena","Salt Lake City","UT","7689"
"25","1997","Sunday","July","6","9:00 PM","Regular season","Sacramento Monarchs","Cleveland Rockers","ARCO Arena","Sacramento","CA","7420"
"26","1997","Monday","July","7","10:00 PM","Regular season","Phoenix Mercury","New York Liberty","US Airways Center","Phoenix","AZ","13731"
"27","1997","Monday","July","7","4:00 AM","Regular season","Houston Comets","Charlotte Sting","Compaq Center","Houston","TX","5933"
"28","1997","Monday","July","7","5:00 AM","Regular season","Utah Starzz","Sacramento Monarchs","EnergySolutions Arena","Salt Lake City","UT","5783"
"29","1997","Monday","July","7","6:00 AM","Regular season","Los Angeles Sparks","Cleveland Rockers","Great Western Forum","Los Angeles","CA","5987"
"30","1997","Wednesday","July","9","10:00 PM","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ","11892"
"31","1997","Wednesday","July","9","3:00 AM","Regular season","Charlotte Sting","New York Liberty","Time Warner Cable Arena","Charlotte","NC","8913"
"32","1997","Thursday","July","10","7:00 PM","Regular season","Cleveland Rockers","Sacramento Monarchs","Quicken Loans Arena","Cleveland","OH","5629"
"33","1997","Thursday","July","10","3:00 AM","Regular season","New York Liberty","Charlotte Sting","Madison Square Garden","New York","NY","9951"
"34","1997","Friday","July","11","9:00 PM","Regular season","Los Angeles Sparks","Utah Starzz","Great Western Forum","Los Angeles","CA","7187"
"35","1997","Saturday","July","12","2:00 PM","Regular season","Houston Comets","Sacramento Monarchs","Compaq Center","Houston","TX","7751"
"36","1997","Saturday","July","12","5:00 PM","Regular season","Charlotte Sting","Cleveland Rockers","Time Warner Cable Arena","Charlotte","NC","6166"
"37","1997","Saturday","July","12","5:00 AM","Regular season","Utah Starzz","Phoenix Mercury","EnergySolutions Arena","Salt Lake City","UT","7076"
"38","1997","Sunday","July","13","9:00 PM","Regular season","Los Angeles Sparks","Phoenix Mercury","Great Western Forum","Los Angeles","CA","10494"
"39","1997","Monday","July","14","3:00 AM","Regular season","Cleveland Rockers","New York Liberty","Quicken Loans Arena","Cleveland","OH","6749"
"40","1997","Monday","July","14","4:00 AM","Regular season","Houston Comets","Utah Starzz","Compaq Center","Houston","TX","6882"
"41","1997","Tuesday","July","15","10:00 PM","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA","8420"
"42","1997","Tuesday","July","15","3:00 AM","Regular season","New York Liberty","Cleveland Rockers","Madison Square Garden","New York","NY","8554"
"43","1997","Wednesday","July","16","10:00 PM","Regular season","Phoenix Mercury","Sacramento Monarchs","US Airways Center","Phoenix","AZ","12636"
"44","1997","Wednesday","July","16","3:00 AM","Regular season","Charlotte Sting","Utah Starzz","Time Warner Cable Arena","Charlotte","NC","6110"
"45","1997","Wednesday","July","16","6:00 AM","Regular season","Los Angeles Sparks","Houston Comets","Great Western Forum","Los Angeles","CA","7240"
"46","1997","Thursday","July","17","7:00 PM","Regular season","Cleveland Rockers","Charlotte Sting","Quicken Loans Arena","Cleveland","OH","4301"
"47","1997","Thursday","July","17","3:00 AM","Regular season","New York Liberty","Utah Starzz","Madison Square Garden","New York","NY","9017"
"48","1997","Friday","July","18","9:00 PM","Regular season","Sacramento Monarchs","Houston Comets","ARCO Arena","Sacramento","CA","6270"
"49","1997","Saturday","July","19","4:00 PM","Regular season","New York Liberty","Los Angeles Sparks","Madison Square Garden","New York","NY","16236"
"50","1997","Saturday","July","19","7:00 PM","Regular season","Cleveland Rockers","Utah Starzz","Quicken Loans Arena","Cleveland","OH","6485"
"51","1997","Monday","July","21","4:00 AM","Regular season","Sacramento Monarchs","Phoenix Mercury","ARCO Arena","Sacramento","CA","5913"
"52","1997","Monday","July","21","3:00 AM","Regular season","Charlotte Sting","Los Angeles Sparks","Time Warner Cable Arena","Charlotte","NC","6336"
"53","1997","Tuesday","July","22","10:00 PM","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ","12581"
"54","1997","Tuesday","July","22","3:00 AM","Regular season","New York Liberty","Utah Starzz","Madison Square Garden","New York","NY","9011"
"55","1997","Wednesday","July","23","3:00 AM","Regular season","Charlotte Sting","New York Liberty","Time Warner Cable Arena","Charlotte","NC","7266"
"56","1997","Wednesday","July","23","6:00 AM","Regular season","Los Angeles Sparks","Cleveland Rockers","Great Western Forum","Los Angeles","CA","6815"
"57","1997","Friday","July","25","9:00 PM","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ","15648"
"58","1997","Friday","July","25","10:00 PM","Regular season","Sacramento Monarchs","Houston Comets","ARCO Arena","Sacramento","CA","6402"
"59","1997","Saturday","July","26","4:00 PM","Regular season","Utah Starzz","Cleveland Rockers","EnergySolutions Arena","Salt Lake City","UT","7108"
"60","1997","Saturday","July","26","4:00 PM","Regular season","New York Liberty","Charlotte Sting","Madison Square Garden","New York","NY","11502"
"61","1997","Sunday","July","27","9:00 PM","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA","8629"
"62","1997","Monday","July","28","4:00 AM","Regular season","Phoenix Mercury","Cleveland Rockers","US Airways Center","Phoenix","AZ","11012"
"63","1997","Tuesday","July","29","4:00 AM","Regular season","Houston Comets","Cleveland Rockers","Compaq Center","Houston","TX","8071"
"64","1997","Wednesday","July","30","3:00 AM","Regular season","New York Liberty","Sacramento Monarchs","Madison Square Garden","New York","NY","11934"
"65","1997","Wednesday","July","30","3:00 AM","Regular season","Charlotte Sting","Phoenix Mercury","Time Warner Cable Arena","Charlotte","NC","9166"
"66","1997","Wednesday","July","30","6:00 AM","Regular season","Los Angeles Sparks","Utah Starzz","Great Western Forum","Los Angeles","CA","7231"
"67","1997","Thursday","July","31","7:00 PM","Regular season","Cleveland Rockers","Phoenix Mercury","Quicken Loans Arena","Cleveland","OH","7014"
"68","1997","Friday","August","1","9:00 PM","Regular season","Los Angeles Sparks","Houston Comets","Great Western Forum","Los Angeles","CA","8009"
"69","1997","Friday","August","1","3:00 AM","Regular season","Charlotte Sting","Sacramento Monarchs","Time Warner Cable Arena","Charlotte","NC","6871"
"70","1997","Saturday","August","2","4:00 PM","Regular season","New York Liberty","Phoenix Mercury","Madison Square Garden","New York","NY","14660"
"71","1997","Saturday","August","2","7:00 PM","Regular season","Cleveland Rockers","Sacramento Monarchs","Quicken Loans Arena","Cleveland","OH","7541"
"72","1997","Saturday","August","2","10:00 PM","Regular season","Utah Starzz","Houston Comets","EnergySolutions Arena","Salt Lake City","UT","8561"
"73","1997","Sunday","August","3","5:00 AM","Regular season","Los Angeles Sparks","Charlotte Sting","Great Western Forum","Los Angeles","CA","8792"
"74","1997","Monday","August","4","10:00 PM","Regular season","Phoenix Mercury","Sacramento Monarchs","US Airways Center","Phoenix","AZ","10898"
"75","1997","Monday","August","4","5:00 AM","Regular season","Utah Starzz","Charlotte Sting","EnergySolutions Arena","Salt Lake City","UT","6526"
"76","1997","Tuesday","August","5","7:00 PM","Regular season","Cleveland Rockers","Houston Comets","Quicken Loans Arena","Cleveland","OH","6678"
"77","1997","Tuesday","August","5","3:00 AM","Regular season","New York Liberty","Los Angeles Sparks","Madison Square Garden","New York","NY","16944"
"78","1997","Wednesday","August","6","10:00 PM","Regular season","Phoenix Mercury","Utah Starzz","US Airways Center","Phoenix","AZ","11694"
"79","1997","Wednesday","August","6","10:00 PM","Regular season","Sacramento Monarchs","Charlotte Sting","ARCO Arena","Sacramento","CA","5795"
"80","1997","Thursday","August","7","7:00 PM","Regular season","Cleveland Rockers","Los Angeles Sparks","Quicken Loans Arena","Cleveland","OH","9238"
"81","1997","Thursday","August","7","4:00 AM","Regular season","Houston Comets","Phoenix Mercury","Compaq Center","Houston","TX","10001"
"82","1997","Friday","August","8","9:00 PM","Regular season","Sacramento Monarchs","Utah Starzz","ARCO Arena","Sacramento","CA","6150"
"83","1997","Saturday","August","9","2:00 PM","Regular season","Houston Comets","Los Angeles Sparks","Compaq Center","Houston","TX","14358"
"84","1997","Saturday","August","9","5:00 PM","Regular season","Charlotte Sting","Phoenix Mercury","Time Warner Cable Arena","Charlotte","NC","10139"
"85","1997","Sunday","August","10","9:00 PM","Regular season","Sacramento Monarchs","New York Liberty","ARCO Arena","Sacramento","CA","10162"
"86","1997","Monday","August","11","3:00 AM","Regular season","Charlotte Sting","Houston Comets","Time Warner Cable Arena","Charlotte","NC","6055"
"87","1997","Monday","August","11","5:00 AM","Regular season","Utah Starzz","Cleveland Rockers","EnergySolutions Arena","Salt Lake City","UT","7319"
"88","1997","Tuesday","August","12","3:00 AM","Regular season","Houston Comets","Utah Starzz","Compaq Center","Houston","TX","7084"
"89","1997","Tuesday","August","12","10:00 PM","Regular season","Phoenix Mercury","New York Liberty","US Airways Center","Phoenix","AZ","16371"
"90","1997","Tuesday","August","12","10:00 PM","Regular season","Sacramento Monarchs","Cleveland Rockers","ARCO Arena","Sacramento","CA","6706"
"91","1997","Thursday","August","14","10:00 PM","Regular season","Phoenix Mercury","Cleveland Rockers","US Airways Center","Phoenix","AZ","11818"
"92","1997","Thursday","August","14","3:00 AM","Regular season","Charlotte Sting","Sacramento Monarchs","Time Warner Cable Arena","Charlotte","NC","6045"
"93","1997","Friday","August","15","8:00 PM","Regular season","New York Liberty","Sacramento Monarchs","Madison Square Garden","New York","NY","15855"
"94","1997","Saturday","August","16","2:00 PM","Regular season","Charlotte Sting","Houston Comets","Time Warner Cable Arena","Charlotte","NC","18937"
"95","1997","Saturday","August","16","5:00 AM","Regular season","Utah Starzz","Los Angeles Sparks","EnergySolutions Arena","Salt Lake City","UT","8970"
"96","1997","Sunday","August","17","4:00 PM","Regular season","New York Liberty","Houston Comets","Madison Square Garden","New York","NY","17499"
"97","1997","Sunday","August","17","9:00 PM","Regular season","Phoenix Mercury","Utah Starzz","US Airways Center","Phoenix","AZ","14591"
"98","1997","Sunday","August","17","7:00 PM","Regular season","Cleveland Rockers","Charlotte Sting","Quicken Loans Arena","Cleveland","OH","10555"
"99","1997","Monday","August","18","6:00 AM","Regular season","Los Angeles Sparks","Phoenix Mercury","Great Western Forum","Los Angeles","CA","10496"
"100","1997","Tuesday","August","19","3:00 AM","Regular season","Utah Starzz","New York Liberty","EnergySolutions Arena","Salt Lake City","UT","8234"
"101","1997","Tuesday","August","19","4:00 AM","Regular season","Houston Comets","Charlotte Sting","Compaq Center","Houston","TX","8123"
"102","1997","Wednesday","August","20","10:00 PM","Regular season","Sacramento Monarchs","Phoenix Mercury","ARCO Arena","Sacramento","CA","10484"
"103","1997","Wednesday","August","20","6:00 AM","Regular season","Los Angeles Sparks","New York Liberty","Great Western Forum","Los Angeles","CA","14457"
"104","1997","Thursday","August","21","4:00 AM","Regular season","Houston Comets","Cleveland Rockers","Compaq Center","Houston","TX","9631"
"105","1997","Thursday","August","21","5:00 AM","Regular season","Utah Starzz","Charlotte Sting","EnergySolutions Arena","Salt Lake City","UT","8148"
"106","1997","Friday","August","22","9:00 PM","Regular season","Phoenix Mercury","Charlotte Sting","US Airways Center","Phoenix","AZ","15114"
"107","1997","Friday","August","22","6:00 AM","Regular season","Los Angeles Sparks","Sacramento Monarchs","Great Western Forum","Los Angeles","CA","10975"
"108","1997","Saturday","August","23","4:00 PM","Regular season","Cleveland Rockers","New York Liberty","Quicken Loans Arena","Cleveland","OH","13766"
"109","1997","Sunday","August","24","5:00 PM","Regular season","New York Liberty","Cleveland Rockers","Madison Square Garden","New York","NY","18051"
"110","1997","Sunday","August","24","9:00 PM","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ","17747"
"111","1997","Sunday","August","24","3:00 AM","Regular season","Charlotte Sting","Utah Starzz","Time Warner Cable Arena","Charlotte","NC","8028"
"112","1997","Sunday","August","24","4:00 AM","Regular season","Houston Comets","Sacramento Monarchs","Compaq Center","Houston","TX","14252"
"113","1997","Thursday","August","28","3:00 AM","Semifinals","Houston Comets","Charlotte Sting","Compaq Center","Houston","TX","11510"
"114","1997","Thursday","August","28","5:00 AM","Semifinals","Phoenix Mercury","New York Liberty","US Airways Center","Phoenix","AZ","16751"
"115","1997","Saturday","August","30","11:00 AM","Finals","Houston Comets","New York Liberty","Compaq Center","Houston","TX","16285"
"116","1998","Thursday","June","11","3:00 AM","Regular season","Charlotte Sting","Washington Mystics","Spectrum Center","Charlotte","NC","9092"
"117","1998","Thursday","June","11","8:00 PM","Regular season","Cleveland Rockers","New York Liberty","Quicken Loans Arena","Cleveland","OH","17911"
"118","1998","Thursday","June","11","9:00 PM","Regular season","Utah Starzz","Los Angeles Sparks","EnergySolutions Arena","Salt Lake City","UT","9330"
"119","1998","Thursday","June","11","10:00 PM","Regular season","Sacramento Monarchs","Phoenix Mercury","ARCO Arena","Sacramento","CA","7816"
"120","1998","Saturday","June","13","3:00 AM","Regular season","Detroit Shock","Charlotte Sting","Palace of Auburn Hills","Detroit","MI","15574"
"121","1998","Saturday","June","13","4:00 PM","Regular season","Houston Comets","New York Liberty","Compaq Center","Houston","TX","16285"
"122","1998","Saturday","June","13","9:00 PM","Regular season","Utah Starzz","Washington Mystics","EnergySolutions Arena","Salt Lake City","UT","6288"
"123","1998","Sunday","June","14","4:00 PM","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ","13057"
"124","1998","Monday","June","15","3:00 AM","Regular season","Charlotte Sting","Houston Comets","Spectrum Center","Charlotte","NC","6246"
"125","1998","Monday","June","15","3:00 AM","Regular season","Detroit Shock","Cleveland Rockers","Palace of Auburn Hills","Detroit","MI","7102"
"126","1998","Monday","June","15","9:00 PM","Regular season","Utah Starzz","New York Liberty","EnergySolutions Arena","Salt Lake City","UT","6531"
"127","1998","Monday","June","15","10:00 PM","Regular season","Phoenix Mercury","Washington Mystics","US Airways Center","Phoenix","AZ","12522"
"128","1998","Tuesday","June","16","10:00 PM","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA","5818"
"129","1998","Thursday","June","18","3:00 AM","Regular season","Charlotte Sting","Detroit Shock","Spectrum Center","Charlotte","NC","5093"
"130","1998","Thursday","June","18","4:00 AM","Regular season","Houston Comets","Cleveland Rockers","Compaq Center","Houston","TX","8853"
"131","1998","Thursday","June","18","10:00 PM","Regular season","Sacramento Monarchs","New York Liberty","ARCO Arena","Sacramento","CA","6053"
"132","1998","Friday","June","19","8:00 PM","Regular season","Washington Mystics","Utah Starzz","Verizon Center","Washington","DC","20674"
"133","1998","Friday","June","19","6:00 AM","Regular season","Los Angeles Sparks","New York Liberty","Great Western Forum","Los Angeles","CA","11191"
"134","1998","Saturday","June","20","6:00 PM","Regular season","Cleveland Rockers","Detroit Shock","Quicken Loans Arena","Cleveland","OH","7876"
"135","1998","Saturday","June","20","10:00 PM","Regular season","Sacramento Monarchs","Houston Comets","ARCO Arena","Sacramento","CA","7101"
"136","1998","Sunday","June","21","4:00 PM","Regular season","New York Liberty","Utah Starzz","Madison Square Garden","New York","NY","15754"
"137","1998","Sunday","June","21","6:00 PM","Regular season","Washington Mystics","Detroit Shock","Verizon Center","Washington","DC","14314"
"138","1998","Sunday","June","21","5:00 PM","Regular season","Phoenix Mercury","Charlotte Sting","US Airways Center","Phoenix","AZ","13503"
"139","1998","Sunday","June","21","5:00 AM","Regular season","Los Angeles Sparks","Houston Comets","Great Western Forum","Los Angeles","CA","7301"
"140","1998","Monday","June","22","3:00 AM","Regular season","Cleveland Rockers","Utah Starzz","Quicken Loans Arena","Cleveland","OH","7405"
"141","1998","Tuesday","June","23","3:00 AM","Regular season","New York Liberty","Cleveland Rockers","Madison Square Garden","New York","NY","12402"
"142","1998","Tuesday","June","23","3:00 AM","Regular season","Detroit Shock","Sacramento Monarchs","Palace of Auburn Hills","Detroit","MI","7258"
"143","1998","Wednesday","June","24","10:00 PM","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ","12622"
"144","1998","Wednesday","June","24","6:00 AM","Regular season","Los Angeles Sparks","Charlotte Sting","Great Western Forum","Los Angeles","CA","5000"
"145","1998","Thursday","June","25","3:00 AM","Regular season","Detroit Shock","Washington Mystics","Palace of Auburn Hills","Detroit","MI","7386"
"146","1998","Thursday","June","25","9:00 PM","Regular season","Utah Starzz","Charlotte Sting","EnergySolutions Arena","Salt Lake City","UT","5949"
"147","1998","Friday","June","26","8:00 PM","Regular season","New York Liberty","Sacramento Monarchs","Madison Square Garden","New York","NY","13877"
"148","1998","Friday","June","26","10:00 PM","Regular season","Phoenix Mercury","Utah Starzz","US Airways Center","Phoenix","AZ","13676"
"149","1998","Saturday","June","27","3:00 AM","Regular season","Charlotte Sting","Sacramento Monarchs","Spectrum Center","Charlotte","NC","8363"
"150","1998","Saturday","June","27","7:00 PM","Regular season","Cleveland Rockers","Detroit Shock","Quicken Loans Arena","Cleveland","OH","9518"
"151","1998","Saturday","June","27","4:00 PM","Regular season","Houston Comets","Los Angeles Sparks","Compaq Center","Houston","TX","15358"
"152","1998","Sunday","June","28","4:00 PM","Regular season","Washington Mystics","Phoenix Mercury","Verizon Center","Washington","DC","15191"
"153","1998","Monday","June","29","3:00 AM","Regular season","New York Liberty","Phoenix Mercury","Madison Square Garden","New York","NY","12683"
"154","1998","Monday","June","29","3:00 AM","Regular season","Detroit Shock","Charlotte Sting","Palace of Auburn Hills","Detroit","MI","7287"
"155","1998","Monday","June","29","4:00 AM","Regular season","Houston Comets","Washington Mystics","Compaq Center","Houston","TX","9227"
"156","1998","Tuesday","June","30","9:00 PM","Regular season","Utah Starzz","Houston Comets","EnergySolutions Arena","Salt Lake City","UT","6975"
"157","1998","Tuesday","June","30","10:00 PM","Regular season","Sacramento Monarchs","Los Angeles Sparks","ARCO Arena","Sacramento","CA","6081"
"158","1998","Wednesday","July","1","7:00 PM","Regular season","Washington Mystics","Cleveland Rockers","Verizon Center","Washington","DC","10364"
"159","1998","Wednesday","July","1","3:00 AM","Regular season","Detroit Shock","New York Liberty","Palace of Auburn Hills","Detroit","MI","9169"
"160","1998","Thursday","July","2","7:00 PM","Regular season","Cleveland Rockers","Phoenix Mercury","Quicken Loans Arena","Cleveland","OH","7990"
"161","1998","Thursday","July","2","6:00 AM","Regular season","Los Angeles Sparks","Utah Starzz","Great Western Forum","Los Angeles","CA","7115"
"162","1998","Friday","July","3","3:00 AM","Regular season","New York Liberty","Washington Mystics","Madison Square Garden","New York","NY","12479"
"163","1998","Friday","July","3","9:00 PM","Regular season","Houston Comets","Sacramento Monarchs","Compaq Center","Houston","TX","10607"
"164","1998","Saturday","July","4","1:00 PM","Regular season","Charlotte Sting","Phoenix Mercury","Spectrum Center","Charlotte","NC","8210"
"165","1998","Sunday","July","5","4:00 PM","Regular season","Washington Mystics","New York Liberty","Verizon Center","Washington","DC","15162"
"166","1998","Sunday","July","5","9:00 PM","Regular season","Sacramento Monarchs","Utah Starzz","ARCO Arena","Sacramento","CA","5396"
"167","1998","Monday","July","6","3:00 AM","Regular season","New York Liberty","Detroit Shock","Madison Square Garden","New York","NY","11276"
"168","1998","Monday","July","6","7:00 PM","Regular season","Cleveland Rockers","Houston Comets","Quicken Loans Arena","Cleveland","OH","8928"
"169","1998","Monday","July","6","9:00 PM","Regular season","Utah Starzz","Sacramento Monarchs","EnergySolutions Arena","Salt Lake City","UT","7005"
"170","1998","Tuesday","July","7","6:00 AM","Regular season","Los Angeles Sparks","Charlotte Sting","Great Western Forum","Los Angeles","CA","5927"
"171","1998","Wednesday","July","8","3:00 AM","Regular season","New York Liberty","Houston Comets","Madison Square Garden","New York","NY","17404"
"172","1998","Wednesday","July","8","7:00 PM","Regular season","Cleveland Rockers","Washington Mystics","Quicken Loans Arena","Cleveland","OH","6657"
"173","1998","Wednesday","July","8","3:00 AM","Regular season","Detroit Shock","Phoenix Mercury","Palace of Auburn Hills","Detroit","MI","9276"
"174","1998","Wednesday","July","8","9:00 PM","Regular season","Utah Starzz","Charlotte Sting","EnergySolutions Arena","Salt Lake City","UT","6145"
"175","1998","Wednesday","July","8","6:00 AM","Regular season","Los Angeles Sparks","Sacramento Monarchs","Great Western Forum","Los Angeles","CA","4851"
"176","1998","Thursday","July","9","4:00 AM","Regular season","Houston Comets","Detroit Shock","Compaq Center","Houston","TX","9641"
"177","1998","Friday","July","10","9:00 PM","Regular season","Phoenix Mercury","Cleveland Rockers","US Airways Center","Phoenix","AZ","13407"
"178","1998","Friday","July","10","10:00 PM","Regular season","Sacramento Monarchs","Charlotte Sting","ARCO Arena","Sacramento","CA","5985"
"179","1998","Saturday","July","11","2:00 PM","Regular season","Washington Mystics","Detroit Shock","Verizon Center","Washington","DC","17906"
"180","1998","Saturday","July","11","4:00 AM","Regular season","Houston Comets","Utah Starzz","Compaq Center","Houston","TX","14136"
"181","1998","Sunday","July","12","4:00 PM","Regular season","New York Liberty","Charlotte Sting","Madison Square Garden","New York","NY","14483"
"182","1998","Sunday","July","12","4:00 PM","Regular season","Los Angeles Sparks","Cleveland Rockers","Great Western Forum","Los Angeles","CA","7738"
"183","1998","Monday","July","13","4:00 AM","Regular season","Houston Comets","Washington Mystics","Compaq Center","Houston","TX","9193"
"184","1998","Monday","July","13","9:00 PM","Regular season","Utah Starzz","Detroit Shock","EnergySolutions Arena","Salt Lake City","UT","7235"
"185","1998","Monday","July","13","4:00 AM","Regular season","Phoenix Mercury","Los Angeles Sparks","US Airways Center","Phoenix","AZ","13071"
"186","1998","Tuesday","July","14","10:00 PM","Regular season","Sacramento Monarchs","Cleveland Rockers","ARCO Arena","Sacramento","CA","5918"
"187","1998","Wednesday","July","15","3:00 AM","Regular season","Charlotte Sting","New York Liberty","Spectrum Center","Charlotte","NC","10424"
"188","1998","Wednesday","July","15","10:00 PM","Regular season","Phoenix Mercury","Detroit Shock","US Airways Center","Phoenix","AZ","13002"
"189","1998","Wednesday","July","15","6:00 AM","Regular season","Los Angeles Sparks","Sacramento Monarchs","Great Western Forum","Los Angeles","CA","5774"
"190","1998","Thursday","July","16","7:00 PM","Regular season","Cleveland Rockers","New York Liberty","Quicken Loans Arena","Cleveland","OH","10326"
"191","1998","Friday","July","17","3:00 AM","Regular season","Charlotte Sting","Washington Mystics","Spectrum Center","Charlotte","NC","7665"
"192","1998","Friday","July","17","3:00 AM","Regular season","Detroit Shock","Utah Starzz","Palace of Auburn Hills","Detroit","MI","8180"
"193","1998","Friday","July","17","9:00 PM","Regular season","Los Angeles Sparks","Houston Comets","Great Western Forum","Los Angeles","CA","8758"
"194","1998","Saturday","July","18","3:00 AM","Regular season","Detroit Shock","Cleveland Rockers","Palace of Auburn Hills","Detroit","MI","8573"
"195","1998","Saturday","July","18","4:00 PM","Regular season","Phoenix Mercury","New York Liberty","US Airways Center","Phoenix","AZ","14655"
"196","1998","Saturday","July","18","10:00 PM","Regular season","Sacramento Monarchs","Houston Comets","ARCO Arena","Sacramento","CA","8720"
"197","1998","Sunday","July","19","4:00 PM","Regular season","Washington Mystics","Utah Starzz","Verizon Center","Washington","DC","13744"
"198","1998","Sunday","July","19","7:00 PM","Regular season","Cleveland Rockers","Charlotte Sting","Quicken Loans Arena","Cleveland","OH","7924"
"199","1998","Monday","July","20","4:00 AM","Regular season","Phoenix Mercury","Sacramento Monarchs","US Airways Center","Phoenix","AZ","13257"
"200","1998","Tuesday","July","21","7:00 PM","Regular season","Washington Mystics","Charlotte Sting","Verizon Center","Washington","DC","20674"
"201","1998","Tuesday","July","21","10:00 PM","Regular season","Phoenix Mercury","Houston Comets","US Airways Center","Phoenix","AZ","14705"
"202","1998","Tuesday","July","21","6:00 AM","Regular season","Los Angeles Sparks","New York Liberty","Great Western Forum","Los Angeles","CA","7696"
"203","1998","Wednesday","July","22","3:00 AM","Regular season","Charlotte Sting","Utah Starzz","Spectrum Center","Charlotte","NC","7584"
"204","1998","Wednesday","July","22","3:00 AM","Regular season","Detroit Shock","Washington Mystics","Palace of Auburn Hills","Detroit","MI","7747"
"205","1998","Thursday","July","23","6:00 AM","Regular season","Los Angeles Sparks","Phoenix Mercury","Great Western Forum","Los Angeles","CA","7751"
"206","1998","Friday","July","24","9:00 PM","Regular season","Sacramento Monarchs","New York Liberty","ARCO Arena","Sacramento","CA","8023"
"207","1998","Saturday","July","25","3:00 AM","Regular season","Charlotte Sting","Houston Comets","Spectrum Center","Charlotte","NC","13014"
"208","1998","Saturday","July","25","7:00 PM","Regular season","Cleveland Rockers","Utah Starzz","Quicken Loans Arena","Cleveland","OH","9960"
"209","1998","Saturday","July","25","2:00 PM","Regular season","Detroit Shock","Los Angeles Sparks","Palace of Auburn Hills","Detroit","MI","14181"
