"","Year","Day of Week","Month","Day","Time (ET)","Game Type","Home Team","Away Team","Arena","City","State","Attendance"
"5896","2023","Sunday","August","27","6:00 PM","Regular season","Phoenix Mercury","Dallas Wings","Footprint Center","Phoenix","AZ","12163"
"5897","2023","Sunday","August","27","6:00 PM","Regular season","Seattle Storm","Chicago Sky","Climate Pledge Arena","Seattle","WA","9893"
"5898","2023","Monday","August","28","7:00 PM","Regular season","New York Liberty","Las Vegas Aces","Barclays Center","Brooklyn","NY","11615"
"5899","2023","Tuesday","August","29","7:00 PM","Regular season","Atlanta Dream","Phoenix Mercury","Gateway Center Arena @ College Park","Atlanta","GA","2785"
"5900","2023","Tuesday","August","29","7:00 PM","Regular season","Washington Mystics","Minnesota Lynx","Entertainment and Sports Arena","Washington","DC","3708"
"5901","2023","Tuesday","August","29","6:00 AM","Regular season","Los Angeles Sparks","Chicago Sky","Crypto.com Arena","Los Angeles","CA","6041"
"5902","2023","Thursday","August","31","7:00 PM","Regular season","Connecticut Sun","Phoenix Mercury","Mohegan Sun Arena","Uncasville","CT","7794"
"5903","2023","Thursday","August","31","10:00 PM","Regular season","Las Vegas Aces","Washington Mystics","Michelob ULTRA Arena","Las Vegas","NV","8619"
"5904","2023","Thursday","August","31","10:00 PM","Regular season","Los Angeles Sparks","Seattle Storm","Crypto.com Arena","Los Angeles","CA","6101"
"5905","2023","Friday","September","1","7:00 PM","Regular season","Indiana Fever","Dallas Wings","Gainbridge Fieldhouse","Indianapolis","IN","3137"
"5906","2023","Friday","September","1","8:00 PM","Regular season","New York Liberty","Connecticut Sun","Barclays Center","Brooklyn","NY","8276"
"5907","2023","Friday","September","1","8:00 PM","Regular season","Minnesota Lynx","Atlanta Dream","Target Center","Minneapolis","MN","7114"
"5908","2023","Saturday","September","2","9:00 PM","Regular season","Las Vegas Aces","Seattle Storm","Michelob ULTRA Arena","Las Vegas","NV","9319"
"5909","2023","Sunday","September","3","3:00 PM","Regular season","Chicago Sky","New York Liberty","Wintrust Arena","Chicago","IL","8223"
"5910","2023","Sunday","September","3","4:00 PM","Regular season","Dallas Wings","Indiana Fever","College Park Center","Arlington","TX","5058"
"5911","2023","Sunday","September","3","7:00 PM","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN","7314"
"5912","2023","Sunday","September","3","3:00 AM","Regular season","Los Angeles Sparks","Washington Mystics","Galen Center","Los Angeles","CA","4284"
"5913","2023","Tuesday","September","5","7:00 PM","Regular season","Connecticut Sun","Los Angeles Sparks","Mohegan Sun Arena","Uncasville","CT","4783"
"5914","2023","Tuesday","September","5","7:00 PM","Regular season","Indiana Fever","Chicago Sky","Gainbridge Fieldhouse","Indianapolis","IN","2450"
"5915","2023","Tuesday","September","5","8:00 PM","Regular season","Dallas Wings","New York Liberty","College Park Center","Arlington","TX","4195"
"5916","2023","Tuesday","September","5","10:00 PM","Regular season","Phoenix Mercury","Washington Mystics","Footprint Center","Phoenix","AZ","7038"
"5917","2023","Wednesday","September","6","7:00 PM","Regular season","Atlanta Dream","Seattle Storm","Gateway Center Arena @ College Park","Atlanta","GA","2731"
"5918","2023","Thursday","September","7","7:00 PM","Regular season","New York Liberty","Los Angeles Sparks","Barclays Center","Brooklyn","NY","6275"
"5919","2023","Friday","September","8","7:00 PM","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT","5064"
"5920","2023","Friday","September","8","7:00 PM","Regular season","Washington Mystics","Atlanta Dream","Entertainment and Sports Arena","Washington","DC","4210"
"5921","2023","Friday","September","8","8:00 PM","Regular season","Chicago Sky","Minnesota Lynx","Wintrust Arena","Chicago","IL","7994"
"5922","2023","Friday","September","8","8:00 PM","Regular season","Dallas Wings","Seattle Storm","College Park Center","Arlington","TX","4546"
"5923","2023","Friday","September","8","10:00 PM","Regular season","Phoenix Mercury","Las Vegas Aces","Footprint Center","Phoenix","AZ","13206"
"5924","2023","Sunday","September","10","1:00 PM","Regular season","Atlanta Dream","Dallas Wings","Gateway Center Arena @ College Park","Atlanta","GA","3207"
"5925","2023","Sunday","September","10","1:00 PM","Regular season","Connecticut Sun","Chicago Sky","Mohegan Sun Arena","Uncasville","CT","6377"
"5926","2023","Sunday","September","10","1:00 PM","Regular season","Indiana Fever","Minnesota Lynx","Gainbridge Fieldhouse","Indianapolis","IN","4009"
"5927","2023","Sunday","September","10","1:00 PM","Regular season","New York Liberty","Washington Mystics","Barclays Center","Brooklyn","NY","8306"
"5928","2023","Sunday","September","10","3:00 PM","Regular season","Las Vegas Aces","Phoenix Mercury","T-Mobile Arena","Las Vegas","NV","17406"
"5929","2023","Sunday","September","10","3:00 PM","Regular season","Seattle Storm","Los Angeles Sparks","Climate Pledge Arena","Seattle","WA","10728"
"5930","2023","Friday","July","28","8:00 PM","Regular season","New York Liberty","Minnesota Lynx","Barclays Center","Brooklyn","NY","6129"
"5931","2023","Saturday","July","15","4:00 AM","All star","Team Wilson","Team Stewart","Michelob ULTRA Arena","Las Vegas","NV","9472"
"5932","2023","Wednesday","September","13","8:00 PM","First Round","Connecticut Sun","Minnesota Lynx","Mohegan Sun Arena","Uncasville","CT","5056"
"5933","2023","Wednesday","September","13","10:00 PM","First Round","Las Vegas Aces","Chicago Sky","T-Mobile Arena","Las Vegas","NV","12927"
"5934","2023","Friday","September","15","3:00 AM","First Round","New York Liberty","Washington Mystics","Barclays Center","Brooklyn","NY","8789"
"5935","2023","Friday","September","15","5:00 AM","First Round","Dallas Wings","Atlanta Dream","College Park Center","Arlington","TX","5053"
"5936","2023","Sunday","September","17","1:00 PM","First Round","Connecticut Sun","Minnesota Lynx","Mohegan Sun Arena","Uncasville","CT","6673"
"5937","2023","Sunday","September","17","3:00 PM","First Round","Las Vegas Aces","Chicago Sky","Michelob ULTRA Arena","Las Vegas","NV","9000"
